shop_id,item_id,ds,y,total
31,12550,2013-01-01,0.0,Total
31,12552,2013-01-01,0.0,Total
31,18672,2013-01-01,0.0,Total
31,15450,2013-01-01,0.0,Total
31,15458,2013-01-01,0.0,Total
35,5822,2013-01-01,0.0,Total
56,7856,2013-01-01,0.0,Total
47,2308,2013-01-01,0.0,Total
50,5822,2013-01-01,0.0,Total
52,5822,2013-01-01,0.0,Total
52,1905,2013-01-01,0.0,Total
52,2416,2013-01-01,0.0,Total
53,2308,2013-01-01,0.0,Total
53,5822,2013-01-01,0.0,Total
38,7894,2013-01-01,0.0,Total
38,17717,2013-01-01,0.0,Total
38,3076,2013-01-01,0.0,Total
44,5822,2013-01-01,0.0,Total
44,22088,2013-01-01,0.0,Total
44,22087,2013-01-01,0.0,Total
46,2308,2013-01-01,0.0,Total
46,5821,2013-01-01,0.0,Total
46,5822,2013-01-01,0.0,Total
46,7894,2013-01-01,1.0,Total
42,2308,2013-01-01,0.0,Total
42,5822,2013-01-01,0.0,Total
42,7894,2013-01-01,0.0,Total
42,7856,2013-01-01,0.0,Total
25,2574,2013-01-02,0.0,Total
25,2308,2013-01-02,1.0,Total
25,5643,2013-01-02,0.0,Total
25,5821,2013-01-02,0.0,Total
25,5822,2013-01-02,2.0,Total
25,5823,2013-01-02,0.0,Total
25,4249,2013-01-02,-1.0,Total
25,482,2013-01-02,0.0,Total
25,13881,2013-01-02,1.0,Total
25,16167,2013-01-02,1.0,Total
25,16071,2013-01-02,0.0,Total
25,7893,2013-01-02,1.0,Total
25,7894,2013-01-02,0.0,Total
24,5822,2013-01-02,0.0,Total
22,482,2013-01-02,0.0,Total
22,464,2013-01-02,0.0,Total
22,839,2013-01-02,0.0,Total
22,491,2013-01-02,0.0,Total
22,784,2013-01-02,0.0,Total
22,13370,2013-01-02,0.0,Total
22,17717,2013-01-02,0.0,Total
19,5821,2013-01-02,0.0,Total
19,5822,2013-01-02,0.0,Total
19,7894,2013-01-02,1.0,Total
28,2308,2013-01-02,6.0,Total
28,4249,2013-01-02,1.0,Total
28,13881,2013-01-02,3.0,Total
28,7894,2013-01-02,1.0,Total
28,12134,2013-01-02,1.0,Total
28,4244,2013-01-02,0.0,Total
28,4248,2013-01-02,1.0,Total
26,5822,2013-01-02,0.0,Total
6,2308,2013-01-02,1.0,Total
6,5822,2013-01-02,1.0,Total
6,5823,2013-01-02,0.0,Total
6,17717,2013-01-02,0.0,Total
7,2308,2013-01-02,1.0,Total
7,5822,2013-01-02,1.0,Total
7,4244,2013-01-02,0.0,Total
16,5643,2013-01-02,2.0,Total
16,5822,2013-01-02,0.0,Total
15,2308,2013-01-02,1.0,Total
15,5822,2013-01-02,1.0,Total
15,5823,2013-01-02,0.0,Total
15,7894,2013-01-02,0.0,Total
15,2808,2013-01-02,1.0,Total
18,5821,2013-01-02,0.0,Total
18,5822,2013-01-02,1.0,Total
18,17717,2013-01-02,1.0,Total
14,5821,2013-01-02,0.0,Total
14,5822,2013-01-02,0.0,Total
12,482,2013-01-02,0.0,Total
12,839,2013-01-02,0.0,Total
12,11365,2013-01-02,0.0,Total
12,11369,2013-01-02,0.0,Total
12,11373,2013-01-02,0.0,Total
12,11370,2013-01-02,0.0,Total
31,2308,2013-01-02,2.0,Total
31,5643,2013-01-02,1.0,Total
31,5821,2013-01-02,0.0,Total
31,5822,2013-01-02,0.0,Total
31,5823,2013-01-02,1.0,Total
31,13881,2013-01-02,1.0,Total
31,7893,2013-01-02,1.0,Total
31,7894,2013-01-02,0.0,Total
31,5459,2013-01-02,0.0,Total
31,5820,2013-01-02,0.0,Total
31,2252,2013-01-02,1.0,Total
31,10331,2013-01-02,1.0,Total
31,6740,2013-01-02,0.0,Total
31,7856,2013-01-02,0.0,Total
31,32,2013-01-02,1.0,Total
31,1905,2013-01-02,0.0,Total
31,1201,2013-01-02,0.0,Total
31,12550,2013-01-02,0.0,Total
31,12552,2013-01-02,0.0,Total
31,18672,2013-01-02,0.0,Total
31,15450,2013-01-02,0.0,Total
31,15458,2013-01-02,0.0,Total
35,5822,2013-01-02,1.0,Total
56,7856,2013-01-02,0.0,Total
47,2308,2013-01-02,1.0,Total
50,5822,2013-01-02,0.0,Total
52,5822,2013-01-02,0.0,Total
52,1905,2013-01-02,0.0,Total
52,2416,2013-01-02,0.0,Total
53,2308,2013-01-02,2.0,Total
53,5822,2013-01-02,1.0,Total
38,7894,2013-01-02,1.0,Total
38,17717,2013-01-02,0.0,Total
38,3076,2013-01-02,0.0,Total
44,5822,2013-01-02,0.0,Total
44,22088,2013-01-02,0.0,Total
44,22087,2013-01-02,4.0,Total
46,2308,2013-01-02,3.0,Total
46,5821,2013-01-02,0.0,Total
46,5822,2013-01-02,1.0,Total
46,7894,2013-01-02,0.0,Total
42,2308,2013-01-02,-1.0,Total
42,5822,2013-01-02,0.0,Total
42,7894,2013-01-02,0.0,Total
42,7856,2013-01-02,0.0,Total
25,2574,2013-01-03,2.0,Total
25,2308,2013-01-03,0.0,Total
25,5643,2013-01-03,0.0,Total
25,5821,2013-01-03,0.0,Total
25,5822,2013-01-03,1.0,Total
25,5823,2013-01-03,0.0,Total
25,4249,2013-01-03,2.0,Total
25,482,2013-01-03,0.0,Total
25,13881,2013-01-03,1.0,Total
25,16167,2013-01-03,0.0,Total
25,16071,2013-01-03,1.0,Total
25,7893,2013-01-03,0.0,Total
25,7894,2013-01-03,2.0,Total
24,5822,2013-01-03,0.0,Total
22,482,2013-01-03,0.0,Total
22,464,2013-01-03,0.0,Total
22,839,2013-01-03,1.0,Total
22,491,2013-01-03,0.0,Total
22,784,2013-01-03,0.0,Total
22,13370,2013-01-03,0.0,Total
22,17717,2013-01-03,0.0,Total
19,5821,2013-01-03,0.0,Total
19,5822,2013-01-03,0.0,Total
19,7894,2013-01-03,0.0,Total
28,2308,2013-01-03,2.0,Total
28,4249,2013-01-03,0.0,Total
28,13881,2013-01-03,1.0,Total
28,7894,2013-01-03,0.0,Total
28,12134,2013-01-03,0.0,Total
28,4244,2013-01-03,0.0,Total
28,4248,2013-01-03,0.0,Total
26,5822,2013-01-03,0.0,Total
6,2308,2013-01-03,3.0,Total
6,5822,2013-01-03,3.0,Total
6,5823,2013-01-03,0.0,Total
6,17717,2013-01-03,0.0,Total
7,2308,2013-01-03,1.0,Total
7,5822,2013-01-03,0.0,Total
7,4244,2013-01-03,0.0,Total
16,5643,2013-01-03,0.0,Total
16,5822,2013-01-03,3.0,Total
15,2308,2013-01-03,0.0,Total
15,5822,2013-01-03,0.0,Total
15,5823,2013-01-03,0.0,Total
15,7894,2013-01-03,0.0,Total
15,2808,2013-01-03,2.0,Total
18,5821,2013-01-03,0.0,Total
18,5822,2013-01-03,0.0,Total
18,17717,2013-01-03,0.0,Total
14,5821,2013-01-03,0.0,Total
14,5822,2013-01-03,1.0,Total
12,482,2013-01-03,0.0,Total
12,839,2013-01-03,0.0,Total
12,11365,2013-01-03,0.0,Total
12,11369,2013-01-03,0.0,Total
12,11373,2013-01-03,0.0,Total
12,11370,2013-01-03,0.0,Total
31,2308,2013-01-03,4.0,Total
31,5643,2013-01-03,2.0,Total
31,5821,2013-01-03,0.0,Total
31,5822,2013-01-03,0.0,Total
31,5823,2013-01-03,0.0,Total
31,13881,2013-01-03,1.0,Total
31,7893,2013-01-03,1.0,Total
31,7894,2013-01-03,0.0,Total
31,5459,2013-01-03,0.0,Total
31,5820,2013-01-03,0.0,Total
31,2252,2013-01-03,0.0,Total
31,10331,2013-01-03,0.0,Total
31,6740,2013-01-03,1.0,Total
31,7856,2013-01-03,3.0,Total
31,32,2013-01-03,0.0,Total
31,1905,2013-01-03,0.0,Total
31,1201,2013-01-03,0.0,Total
31,12550,2013-01-03,0.0,Total
31,12552,2013-01-03,0.0,Total
31,18672,2013-01-03,0.0,Total
31,15450,2013-01-03,0.0,Total
31,15458,2013-01-03,0.0,Total
35,5822,2013-01-03,0.0,Total
56,7856,2013-01-03,1.0,Total
47,2308,2013-01-03,1.0,Total
50,5822,2013-01-03,0.0,Total
52,5822,2013-01-03,0.0,Total
52,1905,2013-01-03,2.0,Total
52,2416,2013-01-03,0.0,Total
53,2308,2013-01-03,4.0,Total
53,5822,2013-01-03,0.0,Total
38,7894,2013-01-03,0.0,Total
38,17717,2013-01-03,0.0,Total
38,3076,2013-01-03,0.0,Total
44,5822,2013-01-03,0.0,Total
44,22088,2013-01-03,2.0,Total
44,22087,2013-01-03,0.0,Total
46,2308,2013-01-03,0.0,Total
46,5821,2013-01-03,0.0,Total
46,5822,2013-01-03,0.0,Total
46,7894,2013-01-03,0.0,Total
42,2308,2013-01-03,2.0,Total
42,5822,2013-01-03,1.0,Total
42,7894,2013-01-03,1.0,Total
42,7856,2013-01-03,0.0,Total
25,2574,2013-01-04,0.0,Total
25,2308,2013-01-04,1.0,Total
25,5643,2013-01-04,0.0,Total
25,5821,2013-01-04,0.0,Total
25,5822,2013-01-04,0.0,Total
25,5823,2013-01-04,0.0,Total
25,4249,2013-01-04,1.0,Total
25,482,2013-01-04,0.0,Total
25,13881,2013-01-04,0.0,Total
25,16167,2013-01-04,1.0,Total
25,16071,2013-01-04,0.0,Total
25,7893,2013-01-04,1.0,Total
25,7894,2013-01-04,0.0,Total
24,5822,2013-01-04,1.0,Total
22,482,2013-01-04,0.0,Total
22,464,2013-01-04,0.0,Total
22,839,2013-01-04,0.0,Total
22,491,2013-01-04,1.0,Total
22,784,2013-01-04,0.0,Total
22,13370,2013-01-04,0.0,Total
22,17717,2013-01-04,1.0,Total
19,5821,2013-01-04,0.0,Total
19,5822,2013-01-04,0.0,Total
19,7894,2013-01-04,0.0,Total
28,2308,2013-01-04,2.0,Total
28,4249,2013-01-04,0.0,Total
28,13881,2013-01-04,0.0,Total
28,7894,2013-01-04,2.0,Total
28,12134,2013-01-04,0.0,Total
28,4244,2013-01-04,1.0,Total
28,4248,2013-01-04,0.0,Total
26,5822,2013-01-04,0.0,Total
6,2308,2013-01-04,0.0,Total
6,5822,2013-01-04,0.0,Total
6,5823,2013-01-04,0.0,Total
6,17717,2013-01-04,0.0,Total
7,2308,2013-01-04,1.0,Total
7,5822,2013-01-04,0.0,Total
7,4244,2013-01-04,0.0,Total
16,5643,2013-01-04,0.0,Total
16,5822,2013-01-04,0.0,Total
15,2308,2013-01-04,1.0,Total
15,5822,2013-01-04,1.0,Total
15,5823,2013-01-04,0.0,Total
15,7894,2013-01-04,0.0,Total
15,2808,2013-01-04,5.0,Total
18,5821,2013-01-04,0.0,Total
18,5822,2013-01-04,0.0,Total
18,17717,2013-01-04,1.0,Total
14,5821,2013-01-04,0.0,Total
14,5822,2013-01-04,0.0,Total
12,482,2013-01-04,0.0,Total
12,839,2013-01-04,0.0,Total
12,11365,2013-01-04,0.0,Total
12,11369,2013-01-04,0.0,Total
12,11373,2013-01-04,0.0,Total
12,11370,2013-01-04,0.0,Total
31,2308,2013-01-04,5.0,Total
31,5643,2013-01-04,0.0,Total
31,5821,2013-01-04,0.0,Total
31,5822,2013-01-04,0.0,Total
31,5823,2013-01-04,0.0,Total
31,13881,2013-01-04,0.0,Total
31,7893,2013-01-04,1.0,Total
31,7894,2013-01-04,2.0,Total
31,5459,2013-01-04,0.0,Total
31,5820,2013-01-04,0.0,Total
31,2252,2013-01-04,0.0,Total
31,10331,2013-01-04,0.0,Total
31,6740,2013-01-04,0.0,Total
31,7856,2013-01-04,0.0,Total
31,32,2013-01-04,2.0,Total
31,1905,2013-01-04,0.0,Total
31,1201,2013-01-04,0.0,Total
31,12550,2013-01-04,0.0,Total
31,12552,2013-01-04,0.0,Total
31,18672,2013-01-04,0.0,Total
31,15450,2013-01-04,1.0,Total
31,15458,2013-01-04,1.0,Total
35,5822,2013-01-04,1.0,Total
56,7856,2013-01-04,0.0,Total
47,2308,2013-01-04,0.0,Total
50,5822,2013-01-04,2.0,Total
52,5822,2013-01-04,1.0,Total
52,1905,2013-01-04,0.0,Total
52,2416,2013-01-04,0.0,Total
53,2308,2013-01-04,1.0,Total
53,5822,2013-01-04,0.0,Total
38,7894,2013-01-04,1.0,Total
38,17717,2013-01-04,0.0,Total
38,3076,2013-01-04,1.0,Total
44,5822,2013-01-04,0.0,Total
44,22088,2013-01-04,0.0,Total
44,22087,2013-01-04,0.0,Total
46,2308,2013-01-04,1.0,Total
46,5821,2013-01-04,0.0,Total
46,5822,2013-01-04,0.0,Total
46,7894,2013-01-04,1.0,Total
42,2308,2013-01-04,1.0,Total
42,5822,2013-01-04,0.0,Total
42,7894,2013-01-04,1.0,Total
42,7856,2013-01-04,1.0,Total
25,2574,2013-01-05,1.0,Total
25,2308,2013-01-05,3.0,Total
25,5643,2013-01-05,0.0,Total
25,5821,2013-01-05,0.0,Total
25,5822,2013-01-05,0.0,Total
25,5823,2013-01-05,0.0,Total
25,4249,2013-01-05,1.0,Total
25,482,2013-01-05,1.0,Total
25,13881,2013-01-05,2.0,Total
25,16167,2013-01-05,0.0,Total
25,16071,2013-01-05,1.0,Total
25,7893,2013-01-05,0.0,Total
25,7894,2013-01-05,1.0,Total
24,5822,2013-01-05,0.0,Total
22,482,2013-01-05,2.0,Total
22,464,2013-01-05,0.0,Total
22,839,2013-01-05,0.0,Total
22,491,2013-01-05,0.0,Total
22,784,2013-01-05,0.0,Total
22,13370,2013-01-05,0.0,Total
22,17717,2013-01-05,0.0,Total
19,5821,2013-01-05,0.0,Total
19,5822,2013-01-05,0.0,Total
19,7894,2013-01-05,0.0,Total
28,2308,2013-01-05,1.0,Total
28,4249,2013-01-05,0.0,Total
28,13881,2013-01-05,2.0,Total
28,7894,2013-01-05,0.0,Total
28,12134,2013-01-05,0.0,Total
28,4244,2013-01-05,0.0,Total
28,4248,2013-01-05,3.0,Total
26,5822,2013-01-05,0.0,Total
6,2308,2013-01-05,3.0,Total
6,5822,2013-01-05,0.0,Total
6,5823,2013-01-05,0.0,Total
6,17717,2013-01-05,0.0,Total
7,2308,2013-01-05,0.0,Total
7,5822,2013-01-05,1.0,Total
7,4244,2013-01-05,0.0,Total
16,5643,2013-01-05,0.0,Total
16,5822,2013-01-05,0.0,Total
15,2308,2013-01-05,4.0,Total
15,5822,2013-01-05,0.0,Total
15,5823,2013-01-05,0.0,Total
15,7894,2013-01-05,0.0,Total
15,2808,2013-01-05,1.0,Total
18,5821,2013-01-05,0.0,Total
18,5822,2013-01-05,0.0,Total
18,17717,2013-01-05,0.0,Total
14,5821,2013-01-05,0.0,Total
14,5822,2013-01-05,0.0,Total
12,482,2013-01-05,0.0,Total
12,839,2013-01-05,0.0,Total
12,11365,2013-01-05,0.0,Total
12,11369,2013-01-05,0.0,Total
12,11373,2013-01-05,0.0,Total
12,11370,2013-01-05,0.0,Total
31,2308,2013-01-05,0.0,Total
31,5643,2013-01-05,0.0,Total
31,5821,2013-01-05,1.0,Total
31,5822,2013-01-05,4.0,Total
31,5823,2013-01-05,0.0,Total
31,13881,2013-01-05,0.0,Total
31,7893,2013-01-05,1.0,Total
31,7894,2013-01-05,0.0,Total
31,5459,2013-01-05,0.0,Total
31,5820,2013-01-05,1.0,Total
31,2252,2013-01-05,0.0,Total
31,10331,2013-01-05,0.0,Total
31,6740,2013-01-05,1.0,Total
31,7856,2013-01-05,1.0,Total
31,32,2013-01-05,1.0,Total
31,1905,2013-01-05,0.0,Total
31,1201,2013-01-05,0.0,Total
31,12550,2013-01-05,1.0,Total
31,12552,2013-01-05,0.0,Total
31,18672,2013-01-05,0.0,Total
31,15450,2013-01-05,1.0,Total
31,15458,2013-01-05,1.0,Total
35,5822,2013-01-05,0.0,Total
56,7856,2013-01-05,1.0,Total
47,2308,2013-01-05,2.0,Total
50,5822,2013-01-05,0.0,Total
52,5822,2013-01-05,1.0,Total
52,1905,2013-01-05,1.0,Total
52,2416,2013-01-05,0.0,Total
53,2308,2013-01-05,3.0,Total
53,5822,2013-01-05,0.0,Total
38,7894,2013-01-05,0.0,Total
38,17717,2013-01-05,1.0,Total
38,3076,2013-01-05,0.0,Total
44,5822,2013-01-05,0.0,Total
44,22088,2013-01-05,0.0,Total
44,22087,2013-01-05,0.0,Total
46,2308,2013-01-05,2.0,Total
46,5821,2013-01-05,0.0,Total
46,5822,2013-01-05,0.0,Total
46,7894,2013-01-05,0.0,Total
42,2308,2013-01-05,0.0,Total
42,5822,2013-01-05,0.0,Total
42,7894,2013-01-05,0.0,Total
42,7856,2013-01-05,0.0,Total
25,2574,2013-01-06,0.0,Total
25,2308,2013-01-06,1.0,Total
25,5643,2013-01-06,0.0,Total
25,5821,2013-01-06,0.0,Total
25,5822,2013-01-06,0.0,Total
25,5823,2013-01-06,0.0,Total
25,4249,2013-01-06,0.0,Total
25,482,2013-01-06,0.0,Total
25,13881,2013-01-06,1.0,Total
25,16167,2013-01-06,0.0,Total
25,16071,2013-01-06,0.0,Total
25,7893,2013-01-06,0.0,Total
25,7894,2013-01-06,1.0,Total
24,5822,2013-01-06,0.0,Total
22,482,2013-01-06,0.0,Total
22,464,2013-01-06,0.0,Total
22,839,2013-01-06,0.0,Total
22,491,2013-01-06,0.0,Total
22,784,2013-01-06,0.0,Total
22,13370,2013-01-06,0.0,Total
22,17717,2013-01-06,0.0,Total
19,5821,2013-01-06,0.0,Total
19,5822,2013-01-06,1.0,Total
19,7894,2013-01-06,0.0,Total
28,2308,2013-01-06,3.0,Total
28,4249,2013-01-06,0.0,Total
28,13881,2013-01-06,1.0,Total
28,7894,2013-01-06,0.0,Total
28,12134,2013-01-06,0.0,Total
28,4244,2013-01-06,0.0,Total
28,4248,2013-01-06,0.0,Total
26,5822,2013-01-06,1.0,Total
6,2308,2013-01-06,2.0,Total
6,5822,2013-01-06,0.0,Total
6,5823,2013-01-06,2.0,Total
6,17717,2013-01-06,0.0,Total
7,2308,2013-01-06,1.0,Total
7,5822,2013-01-06,0.0,Total
7,4244,2013-01-06,0.0,Total
16,5643,2013-01-06,0.0,Total
16,5822,2013-01-06,0.0,Total
15,2308,2013-01-06,0.0,Total
15,5822,2013-01-06,0.0,Total
15,5823,2013-01-06,0.0,Total
15,7894,2013-01-06,0.0,Total
15,2808,2013-01-06,2.0,Total
18,5821,2013-01-06,0.0,Total
18,5822,2013-01-06,0.0,Total
18,17717,2013-01-06,0.0,Total
14,5821,2013-01-06,0.0,Total
14,5822,2013-01-06,0.0,Total
12,482,2013-01-06,0.0,Total
12,839,2013-01-06,0.0,Total
12,11365,2013-01-06,0.0,Total
12,11369,2013-01-06,0.0,Total
12,11373,2013-01-06,0.0,Total
12,11370,2013-01-06,0.0,Total
31,2308,2013-01-06,4.0,Total
31,5643,2013-01-06,1.0,Total
31,5821,2013-01-06,0.0,Total
31,5822,2013-01-06,0.0,Total
31,5823,2013-01-06,0.0,Total
31,13881,2013-01-06,0.0,Total
31,7893,2013-01-06,2.0,Total
31,7894,2013-01-06,0.0,Total
31,5459,2013-01-06,0.0,Total
31,5820,2013-01-06,0.0,Total
31,2252,2013-01-06,1.0,Total
31,10331,2013-01-06,0.0,Total
31,6740,2013-01-06,0.0,Total
31,7856,2013-01-06,1.0,Total
31,32,2013-01-06,2.0,Total
31,1905,2013-01-06,0.0,Total
31,1201,2013-01-06,1.0,Total
31,12550,2013-01-06,1.0,Total
31,12552,2013-01-06,0.0,Total
31,18672,2013-01-06,0.0,Total
31,15450,2013-01-06,0.0,Total
31,15458,2013-01-06,0.0,Total
35,5822,2013-01-06,0.0,Total
56,7856,2013-01-06,0.0,Total
47,2308,2013-01-06,0.0,Total
50,5822,2013-01-06,0.0,Total
52,5822,2013-01-06,0.0,Total
52,1905,2013-01-06,0.0,Total
52,2416,2013-01-06,0.0,Total
53,2308,2013-01-06,2.0,Total
53,5822,2013-01-06,0.0,Total
38,7894,2013-01-06,0.0,Total
38,17717,2013-01-06,0.0,Total
38,3076,2013-01-06,0.0,Total
44,5822,2013-01-06,0.0,Total
44,22088,2013-01-06,0.0,Total
44,22087,2013-01-06,0.0,Total
46,2308,2013-01-06,2.0,Total
46,5821,2013-01-06,0.0,Total
46,5822,2013-01-06,2.0,Total
46,7894,2013-01-06,0.0,Total
42,2308,2013-01-06,0.0,Total
42,5822,2013-01-06,2.0,Total
42,7894,2013-01-06,1.0,Total
42,7856,2013-01-06,0.0,Total
25,2574,2013-01-07,1.0,Total
25,2308,2013-01-07,0.0,Total
25,5643,2013-01-07,0.0,Total
25,5821,2013-01-07,0.0,Total
25,5822,2013-01-07,0.0,Total
25,5823,2013-01-07,0.0,Total
25,4249,2013-01-07,0.0,Total
25,482,2013-01-07,0.0,Total
25,13881,2013-01-07,0.0,Total
25,16167,2013-01-07,0.0,Total
25,16071,2013-01-07,0.0,Total
25,7893,2013-01-07,0.0,Total
25,7894,2013-01-07,1.0,Total
24,5822,2013-01-07,0.0,Total
22,482,2013-01-07,0.0,Total
22,464,2013-01-07,0.0,Total
22,839,2013-01-07,0.0,Total
22,491,2013-01-07,0.0,Total
22,784,2013-01-07,0.0,Total
22,13370,2013-01-07,0.0,Total
22,17717,2013-01-07,0.0,Total
19,5821,2013-01-07,0.0,Total
19,5822,2013-01-07,4.0,Total
19,7894,2013-01-07,0.0,Total
28,2308,2013-01-07,2.0,Total
28,4249,2013-01-07,1.0,Total
28,13881,2013-01-07,1.0,Total
28,7894,2013-01-07,0.0,Total
28,12134,2013-01-07,1.0,Total
28,4244,2013-01-07,0.0,Total
28,4248,2013-01-07,0.0,Total
26,5822,2013-01-07,0.0,Total
6,2308,2013-01-07,0.0,Total
6,5822,2013-01-07,3.0,Total
6,5823,2013-01-07,0.0,Total
6,17717,2013-01-07,0.0,Total
7,2308,2013-01-07,2.0,Total
7,5822,2013-01-07,0.0,Total
7,4244,2013-01-07,0.0,Total
16,5643,2013-01-07,0.0,Total
16,5822,2013-01-07,0.0,Total
15,2308,2013-01-07,0.0,Total
15,5822,2013-01-07,0.0,Total
15,5823,2013-01-07,1.0,Total
15,7894,2013-01-07,0.0,Total
15,2808,2013-01-07,0.0,Total
18,5821,2013-01-07,1.0,Total
18,5822,2013-01-07,6.0,Total
18,17717,2013-01-07,0.0,Total
14,5821,2013-01-07,0.0,Total
14,5822,2013-01-07,0.0,Total
12,482,2013-01-07,0.0,Total
12,839,2013-01-07,0.0,Total
12,11365,2013-01-07,0.0,Total
12,11369,2013-01-07,0.0,Total
12,11373,2013-01-07,0.0,Total
12,11370,2013-01-07,0.0,Total
31,2308,2013-01-07,0.0,Total
31,5643,2013-01-07,0.0,Total
31,5821,2013-01-07,0.0,Total
31,5822,2013-01-07,1.0,Total
31,5823,2013-01-07,0.0,Total
31,13881,2013-01-07,0.0,Total
31,7893,2013-01-07,1.0,Total
31,7894,2013-01-07,0.0,Total
31,5459,2013-01-07,1.0,Total
31,5820,2013-01-07,0.0,Total
31,2252,2013-01-07,0.0,Total
31,10331,2013-01-07,0.0,Total
31,6740,2013-01-07,0.0,Total
31,7856,2013-01-07,0.0,Total
31,32,2013-01-07,0.0,Total
31,1905,2013-01-07,0.0,Total
31,1201,2013-01-07,0.0,Total
31,12550,2013-01-07,0.0,Total
31,12552,2013-01-07,0.0,Total
31,18672,2013-01-07,0.0,Total
31,15450,2013-01-07,0.0,Total
31,15458,2013-01-07,0.0,Total
35,5822,2013-01-07,0.0,Total
56,7856,2013-01-07,0.0,Total
47,2308,2013-01-07,1.0,Total
50,5822,2013-01-07,0.0,Total
52,5822,2013-01-07,0.0,Total
52,1905,2013-01-07,0.0,Total
52,2416,2013-01-07,1.0,Total
53,2308,2013-01-07,0.0,Total
53,5822,2013-01-07,0.0,Total
38,7894,2013-01-07,0.0,Total
38,17717,2013-01-07,0.0,Total
38,3076,2013-01-07,0.0,Total
44,5822,2013-01-07,0.0,Total
44,22088,2013-01-07,3.0,Total
44,22087,2013-01-07,1.0,Total
46,2308,2013-01-07,2.0,Total
46,5821,2013-01-07,0.0,Total
46,5822,2013-01-07,0.0,Total
46,7894,2013-01-07,0.0,Total
42,2308,2013-01-07,0.0,Total
42,5822,2013-01-07,1.0,Total
42,7894,2013-01-07,0.0,Total
42,7856,2013-01-07,0.0,Total
25,2574,2013-01-08,2.0,Total
25,2308,2013-01-08,1.0,Total
25,5643,2013-01-08,1.0,Total
25,5821,2013-01-08,0.0,Total
25,5822,2013-01-08,0.0,Total
25,5823,2013-01-08,0.0,Total
25,4249,2013-01-08,0.0,Total
25,482,2013-01-08,0.0,Total
25,13881,2013-01-08,0.0,Total
25,16167,2013-01-08,0.0,Total
25,16071,2013-01-08,0.0,Total
25,7893,2013-01-08,0.0,Total
25,7894,2013-01-08,1.0,Total
24,5822,2013-01-08,0.0,Total
22,482,2013-01-08,1.0,Total
22,464,2013-01-08,0.0,Total
22,839,2013-01-08,0.0,Total
22,491,2013-01-08,0.0,Total
22,784,2013-01-08,0.0,Total
22,13370,2013-01-08,0.0,Total
22,17717,2013-01-08,0.0,Total
19,5821,2013-01-08,0.0,Total
19,5822,2013-01-08,1.0,Total
19,7894,2013-01-08,0.0,Total
